inlf	hours	kidslt6	kidsge6	age	educ	wage	huseduc	faminc	motheduc	fatheduc	unem	city	exper	nwifeinc	expersq
1	1599	0	0	52	10	1.8762	4	11000	7	3	7.5	0	34	7.999956	1156
1	1830	0	0	31	16	4.0437	14	19900	12	12	7.5	1	9	12.50003	81
1	1920	0	0	55	14	9.6354	15	32500	7	7	14	1	37	14.00003	1369
1	2052	0	0	34	17	8.0409	17	37300	17	17	7.5	1	10	20.80007	100
1	2312	0	0	55	14	4.599	16	30018	17	7	11	1	35	19.38511	1225
1	196	0	2	39	12	2.1429	12	12807	12	7	14	1	6	12.38699	36
1	2500	0	3	40	14	4.4	13	39500	14	3	7.5	0	19	28.5	361
1	1980	0	4	43	12	3.5354	12	22050	12	12	9.5	1	10	15.04991	100
1	1840	0	0	48	8	2.7174	8	15500	7	7	14	1	11	10.49998	121
1	320	0	0	47	12	6.25	12	13810	7	7	9.5	1	15	11.81	225
1	419	0	4	41	12	11.933	12	11950	7	7	5	1	12	6.950073	144
1	1880	0	0	36	8	3.5931	12	19175	12	12	7.5	0	12	12.41997	144
1	72	0	2	46	17	6.9444	17	17900	12	16	7.5	0	14	17.4	196
1	120	0	0	34	12	2.9167	8	15850	12	7	5	1	11	15.5	121
1	1885	0	3	41	12	3.0769	8	27017	7	7	5	1	9	21.21704	81
1	240	0	1	51	12	3.75	10	18900	12	7	5	0	24	18	576
1	1729	0	0	33	12	5.7259	16	21800	12	12	7.5	1	12	11.89992	144
1	1850	0	0	52	12	3.6757	12	33552	10	10	7.5	1	13	26.75196	169
1	2033	0	0	58	9	5.1648	7	22650	7	9	7.5	1	29	12.14996	841
1	608	2	4	34	10	8.2237	9	15200	0	0	7.5	1	11	10.19999	121
1	1153	0	1	31	12	4.3365	12	13120	7	10	7.5	1	13	8.120015	169
1	2208	0	1	48	12	4.9819	12	21660	12	14	5	1	19	10.65996	361
1	252	0	2	32	12	0.3571	12	18190	7	7	3	0	2	18.10001	4
1	337	0	0	49	17	2.9674	17	9600	3	3	14	1	24	8.599986	576
1	90	2	2	32	15	1	14	13755	10	12	7.5	1	9	13.665	81
1	1174	0	0	58	12	2.5554	16	35350	7	12	7.5	1	6	32.34996	36
1	372	0	0	50	6	0.8602	12	12405	12	7	7.5	1	22	12.08501	484
1	30	0	0	60	14	1	12	12180	12	17	9.5	0	30	12.15	900
1	1800	0	1	50	12	2.9261	11	22962	7	3	7.5	1	10	17.69502	100
1	282	0	0	56	14	3.5461	17	25700	7	7	9.5	1	6	24.7	36
1	720	0	0	51	9	1.6264	8	3305	7	7	3	0	29	2.133992	841
1	1440	0	1	54	17	8.3333	17	32950	7	12	5	1	29	20.95005	841
1	2100	0	0	59	13	3.0952	15	17000	7	7	5	1	36	10.50008	1296
1	1000	0	2	46	9	2.7	10	13250	7	7	5	1	19	10.55	361
1	952	0	1	46	15	5.2521	16	50750	7	12	5	1	8	45.75	64
1	1413	1	3	39	12	1.4154	8	15632	10	10	14	0	13	13.63204	169
1	2100	0	2	44	12	4.7986	14	28316	7	0	11	1	16	18.23894	256
1	120	2	0	33	12	1.6667	12	17290	12	12	9.5	1	11	17.09	121
1	3000	1	2	33	12	1.1217	17	33600	10	10	7.5	1	15	30.2349	225
1	1000	0	2	48	12	0.5	12	29200	12	7	9	1	6	28.7	36
1	336	0	4	31	12	0.7143	17	19870	7	7	11	0	13	19.63	169
1	1216	0	1	45	12	2.7961	12	16225	7	7	11	0	22	12.82494	484
1	988	0	1	45	12	4.8583	10	28600	7	3	5	1	24	23.8	576
1	2581	0	2	32	13	1.7435	17	30800	14	12	7.5	1	2	26.30003	4
1	2030	0	0	47	12	2.4631	17	25700	7	7	3	0	6	20.69991	36
1	413	0	2	34	13	2.4213	13	27000	12	12	3	0	2	26	4
1	782	0	1	37	12	1.5345	10	12077	12	7	9.5	1	2	10.87702	4
1	1388	0	1	36	12	2.8818	12	29612	7	7	11	0	14	25.61206	196
1	1450	1	2	47	12	2.4069	14	24479	7	10	9.5	1	9	20.98899	81
1	1720	0	1	48	16	5.2326	17	79750	14	14	7.5	1	11	70.74993	121
1	800	0	2	42	12	3.75	12	20050	12	7	11	0	9	17.05	81
1	360	0	3	33	13	1.3889	14	21500	10	12	11	1	6	21	36
1	2000	0	0	46	11	4	8	16120	7	7	5	0	19	8.12	361
1	1176	0	3	47	12	3.2313	13	24686	7	7	9.5	0	26	20.88599	676
1	2058	0	1	44	12	3.4014	10	24669	7	10	9.5	1	19	17.66892	361
1	900	0	4	36	12	1.3333	17	26400	7	7	7.5	1	3	25.20003	9
1	215	2	0	31	17	9.3023	16	16245	12	12	7.5	1	7	14.24501	49
1	2000	0	0	55	14	4.5	14	23300	7	7	9.5	1	28	14.3	784
1	757	0	1	45	16	4.6235	16	27200	12	7	9.5	1	13	23.70001	169
1	1264	0	0	47	17	3.9557	17	51000	10	17	9.5	1	9	46	81
1	2064	0	3	46	12	5.814	12	55000	10	7	14	1	15	42.9999	225
1	1280	0	0	49	11	0.5	9	15389	7	7	7.5	1	20	14.749	400
1	1715	0	0	49	12	4.0816	14	23150	7	7	9.5	1	29	16.15005	841
1	2000	0	2	45	12	6	6	29774	7	10	14	1	9	17.774	81
1	12	1	3	38	17	3.6667	13	91044	12	10	14	1	1	91	1
1	1528	0	0	47	10	3.8613	12	28200	7	12	14	1	8	22.29993	64
1	561	0	3	54	13	2.7629	16	36150	7	7	9.5	1	19	34.60001	361
1	2058	0	0	41	11	2.931	12	15652	12	12	7.5	0	23	9.620002	529
1	1823	0	2	43	12	4.3884	14	18900	14	7	11	0	3	10.89995	9
1	1680	1	1	31	16	5.4167	12	23600	12	10	7.5	0	13	14.49994	169
1	1440	0	0	47	17	9.8611	12	36200	7	7	7.5	1	8	22.00002	64
1	4950	0	2	35	12	0.1616	12	18700	10	10	7.5	0	17	17.90008	289
1	1176	0	3	45	16	0.3826	17	24125	7	7	11	1	4	23.67506	16
1	1100	1	0	33	12	3.6364	12	15800	7	7	7.5	0	15	11.79996	225
1	1516	0	1	54	16	2.3747	12	19742	12	7	3	0	11	16.14195	121
1	900	0	4	35	8	4.6667	12	22600	10	7	9.5	0	7	18.39997	49
1	1080	1	2	31	12	1.8519	10	17500	7	7	7.5	0	0	15.49995	0
1	480	0	0	55	12	5.2	12	19820	7	7	7.5	0	0	17.324	0
1	288	0	2	34	12	3.2986	12	20155	12	16	11	1	10	19.205	100
1	1875	0	1	38	13	8.5333	12	37300	10	12	7.5	1	8	21.30006	64
1	630	0	1	45	11	2.0635	10	24860	7	7	7.5	1	2	23.56	4
1	234	0	1	47	12	2.5641	10	21450	12	3	7.5	1	4	20.85	16
1	1600	0	2	39	12	2.1875	11	29650	7	7	5	1	6	26.15	36
1	960	1	0	36	14	6.25	13	23000	7	7	11	1	18	17	324
1	120	1	2	33	12	3.3333	14	21120	7	7	9	1	3	20.72	9
1	2025	0	0	50	12	4.4444	13	26000	7	12	5	1	22	17.00009	484
1	1809	0	0	58	12	6.6335	14	28000	3	7	7.5	1	33	16	1089
1	3087	0	0	49	17	8.4224	13	45500	12	12	11	1	28	19.50005	784
1	910	0	2	41	14	4.3956	17	16000	16	12	14	1	23	12	529
1	1840	0	1	51	12	2.4457	8	18232	7	14	11	0	27	13.73191	729
1	784	0	0	53	9	1.2245	10	28160	3	7	14	1	11	27.19999	121
1	400	1	2	36	12	1.625	7	5965	12	7	11	1	6	5.315	36
1	1000	0	2	46	12	3	12	19000	7	7	9.5	1	11	16	121
1	1904	0	2	36	12	4.7269	12	36872	12	12	11	1	14	27.87198	196
1	1771	0	1	53	14	1.1293	16	42000	12	12	14	1	17	40.00001	289
1	1486	0	3	40	16	7.4024	16	26900	16	14	11	1	17	15.90003	289
1	740	0	2	42	17	4.4595	16	30800	12	10	9	0	14	27.49997	196
1	1820	1	1	33	15	2.4725	16	21520	12	12	11	1	11	17.02005	121
1	1275	0	3	43	12	1.8824	14	24795	7	7	7.5	1	7	22.39494	49
1	450	1	0	31	16	4	16	12900	14	16	14	1	8	11.1	64
1	1221	0	0	47	17	8.19	16	42700	7	7	7.5	1	6	32.70001	36
1	1550	0	0	54	17	7.0968	17	38800	10	17	11	1	8	27.79996	64
1	180	1	3	33	12	1.6667	11	2500	7	3	3	0	4	2.199994	16
1	2090	0	0	43	16	3.445	14	26921	14	10	11	1	25	19.72095	625
1	1960	0	1	46	13	4.2347	13	18300	7	9	3	0	24	9.999988	576
1	1440	0	3	35	12	2.7778	9	17200	7	7	14	1	11	13.19997	121
1	794	0	3	37	11	1.8892	12	14209	12	3	9.5	1	19	12.70897	361
1	993	0	2	37	16	5.0352	17	32300	12	16	14	1	9	27.30005	81
1	160	0	3	34	14	1.25	14	21400	17	12	7.5	1	19	21.2	361
1	105	1	0	43	16	2.8571	17	14700	7	7	9.5	0	14	14.4	196
1	1200	0	0	46	12	4.1167	12	25516	7	7	9.5	1	22	20.57596	484
1	450	0	3	35	9	1.7778	12	13300	3	7	5	1	6	12.49999	36
1	996	0	0	46	17	13.554	17	31000	12	12	9.5	1	23	17.50022	529
1	1052	0	0	46	14	4.5627	16	48800	7	3	11	1	15	44.00004	225
1	1128	0	2	43	12	2.1277	10	15519	7	7	14	1	6	13.11895	36
1	1840	0	0	30	12	2.9891	12	19500	7	7	7.5	0	11	14.00006	121
1	1910	0	2	41	11	2.5654	9	14545	3	7	5	0	2	9.645086	4
1	980	0	1	54	12	5.6122	15	22897	7	7	14	1	22	17.39705	484
1	2317	0	1	31	12	2.8054	9	14300	10	10	7.5	1	10	7.799889	100
1	1089	0	0	44	10	1.607	11	14884	10	10	9.5	1	14	13.13398	196
1	800	0	1	32	12	2.25	16	27400	12	7	11	1	12	25.6	144
1	1230	0	0	47	5	2.0325	5	16400	7	12	14	1	9	13.90003	81
1	1158	0	1	46	17	5.532	17	25704	14	17	7.5	0	13	19.29794	169
1	2272	0	0	37	11	1.5845	8	12800	10	10	7.5	0	18	9.200016	324
1	528	0	2	51	12	3.7879	11	40000	7	7	7.5	0	8	37.99999	64
1	1000	0	1	49	12	3	12	47000	7	7	14	1	11	44	121
1	520	0	4	36	14	8.6538	13	25872	10	12	9.5	1	9	21.37202	81
1	760	0	1	39	11	4.2105	12	26868	12	7	9.5	1	9	23.66802	81
1	1920	0	2	48	12	4.6875	8	18000	12	12	9.5	1	14	9	196
1	1220	0	2	38	14	4.0984	17	30200	7	7	5	1	9	25.19995	81
1	200	0	2	40	12	25	12	26220	7	7	7.5	1	2	21.22	4
1	2480	1	5	39	10	2.6331	17	40500	7	7	3	0	12	33.96991	144
1	2750	0	0	37	16	6	17	33570	12	7	7.5	1	15	17.07	225
1	2014	0	1	49	13	5.4126	12	16917	7	14	14	1	11	6.016024	121
1	1355	0	3	33	12	0.6642	17	18000	12	7	9.5	0	7	17.10001	49
1	80	0	0	30	12	1.25	16	8337	12	12	11	1	9	8.237	81
1	1670	0	0	54	12	2.2754	8	17100	12	7	9.5	0	19	13.30008	361
1	520	0	4	39	11	3.4615	12	17800	10	7	11	0	11	16.00002	121
1	288	0	3	43	12	4.1667	12	13740	12	12	14	1	8	12.53999	64
1	2014	0	3	31	9	4.4687	12	27000	10	3	9.5	1	13	18.00004	169
1	800	0	3	33	13	1.75	14	32600	12	7	7.5	1	4	31.2	16
1	1984	0	3	40	12	3.6694	14	28030	12	12	14	1	7	20.74991	49
1	1823	0	1	36	12	6.5826	9	23100	12	12	3	0	19	11.09992	361
1	1500	0	0	51	12	2.6	12	24580	7	7	9.5	1	14	20.68	196
1	2261	0	1	44	13	4.8651	12	29000	12	7	9.5	1	14	18.00001	196
1	1728	0	3	42	16	5.787	14	42430	12	14	9.5	1	3	32.43007	9
1	1960	0	1	40	12	4.5408	8	41800	12	12	7.5	1	9	32.90003	81
1	1578	1	1	34	16	9.5057	16	39100	12	17	9.5	1	7	24.10001	49
1	1316	0	0	30	17	10.638	16	31800	16	17	11	1	7	17.80039	49
1	1530	0	0	54	12	1.1111	12	22200	7	7	14	0	14	20.50002	196
1	2220	0	0	51	12	4.0541	12	19500	16	7	3	0	29	10.4999	841
1	1336	0	2	44	9	2.6871	11	14027	7	10	11	0	19	10.43703	361
1	1008	0	1	43	12	2.9762	9	21195	7	7	11	1	14	18.19499	196
1	1944	0	1	34	12	3.1728	8	19013	10	7	7.5	0	16	12.84508	256
1	2000	0	0	45	13	3.55	12	20900	12	7	11	1	10	13.8	100
1	258	0	0	39	12	17.907	7	26820	10	3	11	0	12	22.2	144
1	1785	0	0	50	12	3.4174	10	12800	0	0	14	1	24	6.699941	576
1	480	0	0	52	12	3.3333	12	7850	7	7	14	0	6	6.250016	36
1	772	0	2	41	12	3.886	12	18600	12	12	7.5	1	9	15.60001	81
1	900	0	0	59	10	2.3111	7	5380	12	7	5	0	14	3.30001	196
1	1428	0	0	52	12	1.7108	8	6114	10	7	14	0	26	3.670978	676
1	210	0	0	46	16	2.1143	12	8234	12	12	14	0	7	7.789997	49
1	239	1	5	41	12	9.9331	16	20646	3	7	11	1	4	18.27199	16
1	1878	0	2	33	11	3.0277	8	16640	7	7	9.5	0	15	10.95398	225
1	215	0	0	45	12	1.8605	12	13900	12	12	5	1	23	13.49999	529
1	2340	1	2	36	10	0.1282	8	11500	10	7	7.5	0	1	11.20001	1
1	1960	0	1	48	12	6.6327	10	34000	7	7	14	1	29	20.99991	841
1	532	0	1	47	12	5.6391	11	28700	7	3	11	1	9	25.7	81
1	394	0	0	45	12	1.599	12	9563	7	7	7.5	0	6	8.932994	36
1	675	0	2	37	12	2.6667	17	20960	7	7	7.5	0	11	19.15998	121
1	1515	0	4	46	16	7.9208	14	38590	12	10	14	1	17	26.58999	289
1	1030	0	3	43	17	5.3398	16	27900	12	12	5	1	6	22.40001	36
1	1250	0	2	42	12	4	17	25633	7	7	7.5	1	7	20.633	49
1	1158	1	2	34	17	6.0449	17	35200	12	12	7.5	1	2	28.20001	4
1	112	0	0	52	12	6.25	12	29500	7	7	7.5	1	24	28.8	576
1	336	0	3	37	12	2.9762	9	10000	10	7	7.5	0	4	8.999997	16
1	1984	0	1	37	12	4.2339	12	19800	10	7	5	0	11	11.39994	121
1	716	0	0	52	8	3.4916	7	12900	7	7	5	0	25	10.40001	625
1	1410	1	0	30	12	4.9645	14	26080	12	12	7.5	0	11	19.08006	121
1	1300	0	1	31	13	2.7692	12	13066	17	7	11	1	2	9.46604	4
1	1640	0	1	38	12	3.6585	12	12500	7	7	7.5	0	19	6.50006	361
1	1202	0	3	43	12	5.3935	16	35600	7	7	9	1	7	29.11701	49
1	489	0	1	49	8	0.6564	8	19424	7	7	5	1	2	19.10302	4
1	2076	0	0	55	12	4.7688	10	26250	7	7	5	1	20	16.34997	400
1	526	0	2	38	17	8.5551	17	36525	12	14	9.5	1	10	32.02502	100
1	1721	0	0	52	17	10.459	16	34700	14	17	14	1	19	16.70006	361
1	1327	0	0	48	12	2.6375	11	8311	7	7	11	1	17	4.811038	289
1	584	0	2	32	13	6.8493	12	28626	12	10	11	1	12	24.62601	144
1	1376	0	1	32	12	5.0872	17	24400	7	7	5	1	11	17.40001	121
1	1040	0	2	38	12	0.9615	17	14025	7	7	7.5	1	6	13.02504	36
1	548	0	3	46	12	4.3066	12	21367	16	12	14	1	10	19.00698	100
1	15	0	3	40	12	7.0667	9	14136	7	7	7.5	0	4	14.03	16
1	1980	0	4	31	9	2.5253	10	19900	10	7	5	1	2	14.89991	4
1	1520	0	1	43	10	7.8947	12	37000	12	9	9.5	1	13	25.00006	169
1	1880	0	0	51	12	4.1489	12	18500	7	7	7.5	0	21	10.70007	441
1	1260	1	0	30	16	8.1746	17	34550	16	14	5	1	9	24.25	81
1	1092	0	0	52	13	9.5971	15	49620	10	7	11	1	4	39.13997	16
1	1587	1	5	30	8	2.0164	8	10400	3	3	7.5	0	2	7.199973	4
1	156	0	0	51	16	7.6218	16	33000	16	16	11	1	19	31.811	361
1	1939	0	2	31	13	3.1975	12	16200	7	3	7.5	1	4	10.00005	16
1	1250	0	4	34	12	1.6	12	22660	12	16	7.5	1	9	20.66	81
1	610	0	0	49	11	4.0984	17	16000	7	7	7.5	1	14	13.49998	196
1	270	1	3	35	13	1.4815	17	25780	7	16	9.5	1	6	25.38	36
1	660	1	0	53	12	3.6364	12	20675	7	12	7.5	1	24	18.27498	576
1	1000	0	3	32	12	1	16	40213	12	7	11	0	1	39.213	1
1	1920	0	3	38	10	2.6042	10	15500	12	7	7.5	1	13	10.49994	169
1	200	0	0	54	12	1.75	16	35207	7	12	9.5	1	3	34.857	9
1	1500	0	1	47	17	4.8	8	35702	10	12	11	1	10	28.502	100
1	868	0	1	45	15	5.53	14	17800	14	12	9.5	1	16	12.99996	256
1	2318	0	1	47	16	4.0984	16	50900	16	16	5	1	9	41.39991	81
1	2000	0	0	59	10	1.25	12	17280	7	7	5	0	19	14.78	361
1	60	0	1	32	11	1.6667	12	15150	10	9	5	1	4	15.05	16
1	1715	0	1	45	12	3.7901	17	36200	7	7	7.5	1	10	29.69998	100
1	550	0	4	40	12	2.3636	12	17465	14	12	5	1	5	16.16502	25
1	1960	0	2	47	14	10.204	12	45205	14	12	3	1	7	25.20516	49
1	44	1	2	36	16	6.8182	17	14500	12	10	5	0	3	14.2	9
1	1920	0	0	56	14	7.2146	14	32011	7	7	7.5	0	38	18.15897	1444
1	2540	0	1	41	8	2.4484	11	35200	7	12	9.5	0	16	28.98106	256
1	156	0	3	48	7	1.1987	11	13579	3	7	11	0	13	13.392	169
1	780	1	2	36	12	1.641	12	10455	7	7	11	0	1	9.17502	1
1	3120	0	0	41	12	1.7821	13	32600	7	3	5	0	7	27.03985	49
1	2040	0	0	41	14	2.9412	12	19150	7	10	11	1	15	13.14995	225
1	1610	0	3	36	12	4.9689	13	24400	12	17	9.5	1	10	16.40007	100
1	215	0	3	37	12	1.8605	12	21700	10	7	3	0	2	21.29999	4
1	1120	0	0	38	12	8.0357	12	26201	7	3	9.5	1	19	17.20102	361
1	846	0	2	43	14	3.9716	9	11920	3	3	7.5	1	25	8.560026	625
1	3225	0	0	54	16	3.0416	17	16300	12	12	9.5	1	25	6.49084	625
1	1376	0	1	38	12	2.907	12	16500	7	7	5	1	7	12.49997	49
1	980	1	0	30	12	3.0612	16	30000	12	7	11	1	15	27.00002	225
1	1838	0	0	49	12	4.8966	15	62500	7	7	9.5	1	11	53.50005	121
1	1494	0	1	45	13	4.0161	6	58500	10	10	9.5	1	25	52.49995	625
1	450	0	0	51	13	5.5556	14	40900	7	7	9.5	1	19	38.39998	361
1	1976	0	0	34	10	1.2227	7	16308	0	10	7.5	1	4	13.89194	16
1	2012	0	2	34	12	2.6839	10	9300	7	7	7.5	1	14	3.899993	196
1	561	0	1	41	12	2.6738	17	35700	10	9	7.5	1	19	34.2	361
1	1715	0	1	49	12	9.3294	17	35700	9	9	11	1	18	19.70008	324
1	1912	0	0	32	12	3.1381	14	24500	12	12	5	1	14	18.49995	196
1	3686	0	0	32	14	0.5426	14	13000	12	12	7.5	1	11	10.99998	121
1	1080	0	2	32	17	8.6111	15	52600	12	12	5	0	4	43.30001	16
1	1799	0	0	47	10	3.6687	10	25360	3	7	7.5	1	29	18.76001	841
1	1984	0	1	39	9	2.3185	4	9400	9	9	7.5	0	21	4.800096	441
1	1839	0	0	49	12	2.882	15	26800	12	12	11	1	24	21.5	576
1	1579	0	3	37	12	3.1666	14	33040	12	7	7.5	1	19	28.03994	361
1	96	0	0	59	16	3.6458	15	26350	14	12	7.5	1	31	26	961
1	1920	0	0	50	12	6.25	12	39000	7	7	14	1	28	27	784
1	1688	0	1	32	17	10.249	17	35100	12	12	9.5	1	15	17.79969	225
1	1589	0	0	46	12	3.2096	16	22502	12	12	11	0	27	17.40195	729
1	345	0	2	43	17	7.6522	17	21950	12	14	14	0	13	19.30999	169
1	1521	0	3	37	11	1.9724	6	13000	7	7	7.5	0	4	9.99998	16
1	1490	0	2	32	16	4.698	14	18180	12	14	9	1	10	11.17998	100
1	989	0	1	39	11	2.1234	14	20957	10	10	9	1	8	18.85696	64
1	600	0	2	34	13	2.3333	12	13700	12	12	7.5	0	4	12.30002	16
1	2646	0	1	39	11	2.3896	8	20000	7	7	5	1	18	13.67712	324
1	2149	0	3	45	8	1.2564	9	12260	7	7	5	1	3	9.559997	9
1	320	0	0	50	11	1.0938	11	24850	3	12	7.5	1	11	24.49998	121
1	1600	0	1	40	12	3.75	12	29150	12	7	7.5	1	8	23.15	64
1	2419	0	1	30	10	3.3072	12	23591	7	7	11	1	10	15.59088	100
1	2005	0	0	57	17	5.1352	17	24717	16	12	11	1	33	14.42092	1089
1	1960	0	1	39	12	6.6327	12	30455	12	12	9	1	19	17.45491	361
1	2147	0	0	53	12	4.5645	8	19600	12	12	7.5	1	35	9.800019	1225
1	1207	0	1	48	17	11.848	17	31875	7	12	5	1	21	17.57446	441
1	2000	0	1	46	14	3.75	16	24055	14	14	7.5	0	7	16.555	49
1	1260	0	0	47	12	4.3651	12	18795	7	10	7.5	0	18	13.29497	324
1	90	0	1	43	12	3.9333	10	12198	7	7	7.5	0	4	11.844	16
1	1800	0	0	47	12	3.3333	16	52645	12	7	7.5	1	12	46.64506	144
1	573	0	1	47	12	3.3159	12	16600	10	7	14	0	16	14.69999	256
1	1825	0	0	47	12	3.5616	12	32590	7	7	7.5	1	14	26.09008	196
1	75	0	0	46	12	1.6	12	10020	3	7	7.5	1	3	9.9	9
1	1348	0	4	34	9	2.2255	10	12048	7	7	11	0	1	9.048026	1
1	1880	0	0	48	10	4.7872	12	39750	7	7	11	0	27	30.75006	729
1	1240	0	1	30	12	5.8065	12	15700	10	7	7.5	1	12	8.49994	144
1	848	0	1	51	12	2.3585	12	24250	7	7	3	0	6	22.24999	36
1	150	0	5	52	12	2	16	43210	7	12	14	1	9	42.91	81
1	2000	0	2	37	12	1.9	13	37100	12	12	5	0	2	33.3	4
1	1952	0	2	32	12	5.123	12	23820	12	7	5	0	6	13.8199	36
1	1456	0	2	36	17	5.4945	15	31600	12	14	5	1	9	23.60001	81
1	1740	0	2	35	12	6.3218	14	24000	10	10	7.5	1	16	13.00007	256
1	1400	0	0	45	17	7.1429	16	30750	14	12	5	0	22	20.74994	484
1	2000	0	0	56	12	2.375	10	11050	7	7	14	0	26	6.3	676
1	1750	0	2	40	10	2.5429	4	12239	7	7	14	0	11	7.788925	121
1	1101	1	2	45	12	2.1798	14	12870	14	12	7.5	1	11	10.47004	121
1	2000	0	2	32	12	2.6	12	17200	10	7	7.5	0	15	12	225
1	1877	0	0	45	12	3.7294	8	23980	10	10	7.5	0	13	16.97992	169
1	160	0	2	40	12	4.375	12	18600	7	12	14	1	6	17.9	36
1	1886	0	1	38	12	4.4433	8	23920	7	10	9.5	1	20	15.53994	400
1	1446	0	4	49	12	4.2877	12	16084	7	7	14	1	17	9.883986	289
1	1500	0	1	47	16	1.6667	17	31100	14	14	11	1	8	28.59995	64
1	860	0	0	52	13	3.2558	12	20460	7	7	11	1	13	17.66001	169
1	1848	0	1	34	13	5.4113	16	36000	12	12	7.5	1	15	25.99992	225
1	1678	0	2	44	12	2.205	12	17302	14	12	3	0	14	13.60201	196
1	160	0	3	36	16	4.0625	16	16450	14	7	3	0	14	15.8	196
1	108	0	0	50	17	0.6482	16	41170	14	16	9.5	1	6	41.09999	36
1	1738	0	0	45	12	5.3826	12	20130	0	0	7.5	1	24	10.77504	576
